strategy,timeframe,sharpe,return,trades,win_rate,max_dd,p_value,validated,error
Seasonality,D1,85.24917225774026,5.985323176582024,3,100.0,0.0,0.008449701705306106,False,
Time of Day,M15,0.5082972112580508,76.02341351636693,1021,38.5896180215475,48.54975654978478,0.15336319484824298,False,
Time of Day,H1,0.5965365269619488,34.99064164499423,416,41.58653846153847,32.94029916927943,0.22219631056383415,False,
Time of Day,H4,4.734570616147162,87.73564425588138,141,48.93617021276596,11.751282598121762,0.0002824674165986337,True,
Time of Day,D1,0.0,0.0,0,0.0,0.0,1.0,False,
Volatility Percentile,M15,1.5133743978518321,1082.4469189776687,778,39.84575835475578,204.55914536321274,0.004018191372251025,False,
Volatility Percentile,H1,2.84078647393431,179.91465843938204,197,43.14720812182741,33.46378466278302,0.006523918658602748,False,
Volatility Percentile,H4,5.824599482412586,116.15659794406994,64,54.6875,21.67562712336359,0.002478712254547212,True,
Volatility Percentile,D1,17.08899619652018,29.585041298136165,10,80.0,2.812034565998401,0.0051653220258228655,False,
Volume Profile + Fib,M15,0.8440630547551512,906.1779050451877,821,33.00852618757612,441.4392725638205,0.06412404604611463,False,
Volume Profile + Fib,H1,3.0604624996898884,299.5261507509488,183,41.53005464480874,59.23207716528821,0.005031264877701447,False,
Volume Profile + Fib,H4,5.734524171318144,63.94774127563727,38,39.473684210526315,11.277170908145816,0.01716715059461384,True,
Volume Profile + Fib,D1,0.0,0.0,0,0.0,0.0,1.0,False,
Weekly Bias + Daily Entry,M15,0.4960751243509728,281.1533855064528,2548,40.97331240188383,130.94018852724767,0.057447340053148055,False,
Weekly Bias + Daily Entry,H1,0.7249446271232372,83.62332949309047,765,43.529411764705884,61.1149847653892,0.10361894235574116,False,
Weekly Bias + Daily Entry,H4,1.9848742560285628,58.8462909878188,270,48.51851851851852,13.606593922870944,0.020630949251654578,True,
Weekly Bias + Daily Entry,D1,6.618179285907992,11.233488836933775,16,50.0,3.016731608907539,0.06360812319932646,False,
Breaker Blocks,M15,-1.0816599801871591,-84.05321607666411,1120,29.107142857142858,84.56338811424826,0.011417803068094782,False,
Breaker Blocks,H1,-1.100955365572799,-33.027366135316505,266,29.69924812030075,42.32449791602886,0.1299602650201371,False,
Breaker Blocks,H4,-3.785752066149679,-20.165427319886366,56,21.428571428571427,22.763151096167523,0.041251745877841105,False,
Breaker Blocks,D1,-100.09570298572861,-10.740859023767408,8,0.0,10.740859023767408,3.3987890436750244e-07,False,
Genetic Algorithm,M15,0.8848137548756534,4123.332472354578,1376,50.36337209302325,1148.751895585038,0.019468907913280695,False,
Genetic Algorithm,H1,2.5640974671973735,643.2432541211733,412,53.883495145631066,123.26018357197914,0.0005739060348150183,False,
Genetic Algorithm,H4,4.565223384251914,181.35560659533652,119,63.02521008403361,19.98703244788492,0.0011228485845586771,True,
